cust_id,lookalikes
C0001,"[('C0179', 0.9916346221269137), ('C0160', 0.9892301746174815), ('C0025', 0.9371382865005216)]"
C0002,"[('C0030', 0.9924792466812008), ('C0164', 0.9803870086870619), ('C0008', 0.8661804287105871)]"
C0003,"[('C0031', 0.987097662098253), ('C0181', 0.9712021067815312), ('C0067', 0.954972352839987)]"
C0004,"[('C0175', 0.9837947292638719), ('C0057', 0.9606357289025286), ('C0022', 0.9508556294534547)]"
C0005,"[('C0149', 0.9687578272292461), ('C0023', 0.9405582202540511), ('C0036', 0.1300549416576246)]"
C0006,"[('C0040', 0.9888769559538623), ('C0114', 0.9819588013149768), ('C0058', 0.9141075678505017)]"
C0007,"[('C0009', 0.985597868137347), ('C0112', 0.9672417964510234), ('C0058', 0.07518253161776133)]"
C0008,"[('C0173', 0.9761371057144449), ('C0030', 0.9176584306658828), ('C0164', 0.9024509386933551)]"
C0009,"[('C0007', 0.985597868137347), ('C0112', 0.9798007638300392), ('C0036', 0.1881862806367907)]"
C0010,"[('C0034', 0.9883684199056102), ('C0071', 0.15643248322751496), ('C0036', 0.12523735298385133)]"
C0011,"[('C0171', 0.9913508868399603), ('C0073', 0.977605186355185), ('C0131', 0.9726737153360525)]"
C0012,"[('C0133', 0.9598859142662605), ('C0128', 0.8722834357717645), ('C0045', 0.1801497254512371)]"
C0013,"[('C0021', 0.9973904838876342), ('C0101', 0.993665030939873), ('C0045', 0.19141641530774098)]"
C0014,"[('C0071', 0.2127296481419964), ('C0036', 0.20171362589981734), ('C0097', 0.13157330648532828)]"
C0015,"[('C0126', 0.9536137115590314), ('C0036', 0.13686436310529865), ('C0058', 0.10401505916133547)]"
C0016,"[('C0046', 0.9562967784023849), ('C0190', 0.9509695046759766), ('C0024', 0.04555047679069686)]"
C0017,"[('C0045', 0.907163481633092), ('C0105', 0.8739674987824855), ('C0024', 0.6889004876984853)]"
C0018,"[('C0026', 0.9821471546144821), ('C0049', 0.9600636411564067), ('C0045', 0.11440098239747282)]"
C0019,"[('C0191', 0.7749571410298889), ('C0071', 0.6648839374236353), ('C0036', 0.6365592306219116)]"
C0020,"[('C0036', 0.1387098122247573), ('C0071', 0.11969439693048485), ('C0097', 0.07677681195758611)]"
C0021,"[('C0013', 0.9973904838876342), ('C0101', 0.9961692882933704), ('C0045', 0.17792089380560785)]"
C0022,"[('C0057', 0.9983155004473521), ('C0182', 0.9930414196397565), ('C0154', 0.9839822137752354)]"
C0023,"[('C0149', 0.9773253462256702), ('C0005', 0.9405582202540511), ('C0141', 0.10022124576785699)]"
C0024,"[('C0105', 0.7374035653112334), ('C0017', 0.6889004876984853), ('C0191', 0.6292136144023097)]"
C0025,"[('C0121', 0.9839744779917834), ('C0160', 0.9591856852583449), ('C0097', 0.9488762886495581)]"
C0026,"[('C0018', 0.9821471546144821), ('C0049', 0.9314640477237924), ('C0058', 0.016994775696689866)]"
C0027,"[('C0178', 0.994659811836057), ('C0137', 0.9769912243394522), ('C0172', 0.9762025315098648)]"
C0028,"[('C0188', 0.9976338890732485), ('C0045', 0.25596175715486164), ('C0017', 0.22054480231801613)]"
C0029,"[('C0083', 0.9892260290286709), ('C0092', 0.9835870559542498), ('C0071', 0.15460523735781437)]"
C0030,"[('C0002', 0.9924792466812008), ('C0164', 0.9883697462417318), ('C0008', 0.9176584306658828)]"
C0031,"[('C0003', 0.987097662098253), ('C0186', 0.9730371587591815), ('C0181', 0.9672811533784339)]"
C0032,"[('C0071', 0.15887196819128685), ('C0036', 0.14582990037919813), ('C0097', 0.0932980006116915)]"
C0033,"[('C0077', 0.9841103703338413), ('C0071', 0.3549886600299021), ('C0036', 0.3152023534944862)]"
C0034,"[('C0010', 0.9883684199056102), ('C0017', 0.0880618978346232), ('C0045', 0.05020630897779885)]"
C0035,"[('C0197', 0.9947902068096527), ('C0157', 0.9905520455098011), ('C0118', 0.9656879511112143)]"
C0036,"[('C0071', 0.9692767484712136), ('C0191', 0.6530694528341112), ('C0019', 0.6365592306219116)]"
C0037,"[('C0081', 0.9740392964942572), ('C0053', 0.9705191117660594), ('C0051', 0.967429885067047)]"
C0038,"[('C0177', 0.983115032237291), ('C0195', 0.9829853437861114), ('C0127', 0.9583461513957713)]"
C0039,"[('C0136', 0.9960422612377909), ('C0108', 0.9885718284866597), ('C0041', 0.970943258056828)]"
C0040,"[('C0006', 0.9888769559538623), ('C0114', 0.9585102765241752), ('C0058', 0.9443961301689617)]"
C0041,"[('C0108', 0.9769415566798715), ('C0136', 0.9746901886047074), ('C0148', 0.9715144038565402)]"
C0042,"[('C0167', 0.9844083283839218), ('C0058', 0.08999124826681507), ('C0080', 0.07029276358939264)]"
C0043,"[('C0152', 0.980448074685051), ('C0071', 0.19911036832143264), ('C0036', 0.18303588917830793)]"
C0044,"[('C0058', 0.05910553463921243), ('C0050', 0.04788168770436537), ('C0078', 0.04647392832531195)]"
C0045,"[('C0017', 0.907163481633092), ('C0105', 0.9054934843999961), ('C0024', 0.619982078366195)]"
C0046,"[('C0190', 0.9668009272806143), ('C0016', 0.9562967784023849), ('C0045', 0.19297238057522695)]"
C0047,"[('C0161', 0.9970833859339573), ('C0193', 0.980175787723489), ('C0079', 0.954029389932394)]"
C0048,"[('C0125', 0.9831192461547374), ('C0069', 0.9708429679487979), ('C0192', 0.9508603498225833)]"
C0049,"[('C0018', 0.9600636411564067), ('C0026', 0.9314640477237924), ('C0017', 0.16892151540687536)]"
C0050,"[('C0146', 0.988948403584436), ('C0120', 0.9762543568920987), ('C0116', 0.9530356755078093)]"
C0051,"[('C0104', 0.9816953537093638), ('C0053', 0.9773483952982228), ('C0124', 0.9717916689630524)]"
C0052,"[('C0071', 0.056588962230829015), ('C0036', 0.0541650460299471), ('C0097', 0.02638166532730352)]"
C0053,"[('C0124', 0.98784877055487), ('C0051', 0.9773483952982228), ('C0037', 0.9705191117660594)]"
C0054,"[('C0115', 0.9083189300689288), ('C0045', 0.28510198446941853), ('C0017', 0.21987833562446701)]"
C0055,"[('C0174', 0.9999836680754092), ('C0189', 0.9991928730184702), ('C0096', 0.9078952656249115)]"
C0056,"[('C0191', 0.009155218656589628), ('C0024', 0.006457348943964953), ('C0078', 0.00546609012004895)]"
C0057,"[('C0022', 0.9983155004473521), ('C0182', 0.9940735137730278), ('C0154', 0.9762689083760003)]"
C0058,"[('C0040', 0.9443961301689617), ('C0006', 0.9141075678505017), ('C0114', 0.8249931016058097)]"
C0059,"[('C0082', 0.996081638446278), ('C0170', 0.9546201242678299), ('C0117', 0.9038622532188226)]"
C0060,"[('C0113', 0.8501334822345104), ('C0071', 0.3703941905243206), ('C0036', 0.3243099219885061)]"
C0061,"[('C0074', 0.9782038839057366), ('C0107', 0.9703059700690562), ('C0194', 0.9237564924514803)]"
C0062,"[('C0156', 0.8400851261531853), ('C0071', 0.15439242193369104), ('C0036', 0.14608324461345262)]"
C0063,"[('C0071', 0.14332334529488502), ('C0036', 0.13964882313986937), ('C0097', 0.08610619855121925)]"
C0064,"[('C0147', 0.9778429095939267), ('C0045', 0.017572118546506102), ('C0105', 0.010903016786489616)]"
C0065,"[('C0179', 0.8304643615558553), ('C0160', 0.767110487149549), ('C0001', 0.767048253510925)]"
C0066,"[('C0058', 0.04381164521769437), ('C0050', 0.03833870461031669), ('C0078', 0.03669421431521107)]"
C0067,"[('C0181', 0.9957843365543608), ('C0003', 0.954972352839987), ('C0031', 0.9543619857318185)]"
C0068,"[('C0067', 0.9512732418487071), ('C0181', 0.9453518636657915), ('C0003', 0.8808989878943717)]"
C0069,"[('C0086', 0.9914576026684144), ('C0125', 0.9913935752066881), ('C0192', 0.9902722954809241)]"
C0070,"[('C0132', 0.991130629704454), ('C0123', 0.9758410098844159), ('C0036', 0.03714833159138072)]"
C0071,"[('C0036', 0.9692767484712136), ('C0019', 0.6648839374236353), ('C0097', 0.5378971167542336)]"
C0072,"[('C0199', 0.9749370921403513), ('C0057', 0.965798044094278), ('C0022', 0.9579128235428955)]"
C0073,"[('C0131', 0.9897801900320441), ('C0011', 0.977605186355185), ('C0171', 0.9472686091051293)]"
C0074,"[('C0061', 0.9782038839057366), ('C0107', 0.9715018860012526), ('C0194', 0.9048129787704612)]"
C0075,"[('C0084', 0.9752390771102325), ('C0118', 0.829623280793628), ('C0157', 0.7963776659268079)]"
C0076,"[('C0117', 0.9839148526776675), ('C0170', 0.9614696146197859), ('C0059', 0.8594950871337336)]"
